Keys,V1,V2,V3,V4
170220_165145,3.03,3.12,3.14,3.08
170220_165723,3.04,3.12,3.15,3.01
170221_114817,3.09,3.11,3.02,3.05
170221_122608,3.04,3.08,3.13,3.03
170221_130443,3.09,3.15,3.05,3.1
170221_174711,3.1,3.06,3.02,3.15
170222_141410,3.05,3.08,3.1,3.02
170222_200058,3.04,3.08,3.12,3.13
170222_202333,3.08,3.04,3.11,3.13
170222_202836,3.05,3.09,3.14,3.1
170222_203254,3.15,3.09,3.1,3.01
170222_204743,3.03,3.1,3.08,3.04
170222_205214,3.05,3.03,3.1,3.09
170222_205812,3.03,3.08,3.15,3.1
170223_100401,3.07,3.05,3.11,3.14
170223_101429,3.06,3.09,3.11,3.02
170223_103029,3.06,3.14,3.12,3.03
170223_103349,3.06,3.09,3.14,3.1
170223_103846,3.13,3.07,3.05,3.11
170223_105216,3.02,3.14,3.06,3.07
170223_115551,3.05,3.13,3.1,3.09
170223_120407,3.11,3.02,3.07,3.15
170225_123353,3.05,3.07,3.03,3.14
170225_124105,3.04,3.15,3.1,3.01
170225_124712,3.11,3.13,3.09,3.06
170225_131527,3.14,3.05,3.08,3.01
170225_141503,3.1,3.13,3.07,3.03
170225_143413,3.08,3.15,3.01,3.04
170225_144253,3.01,3.09,3.13,3.06
170225_145319,3.07,3.05,3.12,3.03
170225_145938,3.01,3.13,3.07,3.04
170225_150937,3.11,3.05,3.08,3.02
170225_151608,3.11,3.08,3.05,3.13
170225_152346,3.01,3.1,3.09,3.15
170225_153119,3.13,3.1,3.05,3.03
170225_154409,3.09,3.12,3.02,3.04
170225_154759,3.13,3.03,3.11,3.07
170225_160405,3.12,3.08,3.13,3.02
170225_161019,3.14,3.11,3.03,3.09
170225_161649,3.07,3.04,3.15,3.03
170225_163120,3.08,3.04,3.03,3.13
170225_165944,3.04,3.11,3.14,3.08
170225_170504,3.12,3.04,3.01,3.09
170225_170950,3.07,3.05,3.15,3.1
170225_173544,3.14,3.02,3.07,3.05
170226_101006,3.14,3.06,3.11,3.01
170226_101406,3.08,3.11,3.04,3.03
170226_104450,3.15,3.02,3.07,3.11
170308_145156,3.08,3.14,3.12,3.01
170308_145756,3.1,3.04,3.02,3.13
170308_150918,3.11,3.07,3.04,3.02
170308_151501,3.02,3.08,3.13,3.11
170308_151917,3.09,3.02,3.13,3.04
170308_152335,3.08,,3.13,3.1
170308_152951,3.01,3.14,3.05,3.07
170308_154102,3.05,3.11,3.01,3.14
170308_155218,3.01,3.09,3.06,3.12
170310_084830,3.02,3.06,3.09,3.14
170323_090559,3.03,3.07,3.11,3.13
170323_091910,3.05,3.11,3.03,3.14
170323_102646,3.14,3.08,3.1,3.02
170323_103152,3.14,3.02,3.05,3.07
170323_103727,3.06,3.13,3.12,3.01
170323_105007,3.1,3.04,3.13,3.02
170323_111052,3.03,3.04,3.12,3.15
170323_130446,3.07,3.06,3.01,3.1
170323_132006,3.03,3.07,3.06,3.15
